,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,"""Brendan & Jake switch rigs""",BJSR,Blue Echo,ECHO,Crucial Taunt,TAUN,Funk Improv,FKIM,I'll Take You There,ityt,Living In America,lina,Onward & Upward,ONUP,Ruled By Secrecy,secr,Tell Me Something Good,tmsg,Waiting Room,wait
1,"""Mrs Robinson's Strut""",STRU,Bob,BOB,Cruel Summer,csum,Funk Jam,FKJM,I'm On Fire,fire,Living On a Farm,lonf,Ophelia,ophe,Run Like An Antelope,antl,Tempted,temp,Walk,walk
2,#19,N19,Bob's Cloud,bobs,Cummins Lies,LIES,Funky Bitch,fbit,I've Got a Feeling,igaf,Lodi Dodi,lodi,Orfeo,ORFE,Runnin' Down a Dream,rdad,Ten Years Gone,10yg,Walk This Sweet Funk Emotion,emot
3,#5,N5,Bombtrack,bmbt,Cut Off,OFF,Funky Stuff,fstf,Ignition,ignt,London Calling,call,Orion,orio,Runnin' with the Devil,rwtd,Tenth Avenue Freeze-Out,10av,Walk the Proud Land,prou
4,(Don't Fear) The Reaper,reap,Bonafide Lovin',lovi,Cut the Cable,CABL,G-Song,GSON,Immigrant Song,imgr,London Dungeon,dung,Out Of Order,ORDE,Running on Empty,rune,Thank You,thku,Walking On The Moon,moon
5,(Night Time Is) The Right TIme,ntrt,Booth Love,BOTH,Daffodils,dffd,Garbage Man,garb,In Bloom,blom,Looks,LOOK,Outshined,outs,Sabotage,sbtg,Thank You (Falettinme Be Mice Elf Agin),agin,Walletsworth,WALL
6,(Sittin' On) The Dock of the Bay,dock,Born Under a Bad Sign,bubs,Damn Right I've Got the Blues,drgb,Gents,GENT,In The Black,BLCK,Loose Ends,ENDS,Padgett's Profile,pdgt,Sad Clint Eastwood,scew,That's All,thal,Wanna Be Startin' Somethin',smth
7,...And Justice for All,j4al,Brain Damage,bdam,Dance Hall Days,dhdy,Gesture Under a Mitten,GUAM,In The Kitchen,KITC,Lord Bail Ship,SHIP,Panama,pana,Salamander Strut,SALA,That's What Love Will Make You Do,lwmd,Wappy Sprayberry,WAP
8,...And We Became Sunshine,awbs,Brass In Pocket,bras,Dancing Days,danc,Get Down,gdwn,In The Puppet Kitchen,PUPK,Lost Due to Incompetence (Theme for a Big Green Van),icmp,Papa Can Change a Blurred Stone,papa,San Diego Super Chargers,sdsc,That's the Way,tway,War,war
9,1000 Places to See Before You Die,1PBD,Breaker,BREA,Dark Brush,DARK,Get In The Van,VAN,In Violation of Yes,VYES,Louisiana 1927,1927,Paradise City,pcty,San Francisco Bay,sfby,The Bed's Too Big Without You,bed,War Pigs,pigs
10,10th Grade,10TH,Breathe,brth,Dark Side of the Street,drks,Get Lucky,luck,In a Silent Way,silw,Lucid State,STAT,Partyin' Peeps,peep,Scaffolding Melee,MELE,The Bottom Half,BTTM,Watch the River Flow,flow
